name	bio.tools_id	id	description	tool_shed_repository	panel_section_name	edam_topics	edam_operations		
NCBI Datasets Genomes		toolshed.g2.bx.psu.edu/repos/iuc/ncbi_datasets/datasets_download_genome/13.4.0	download genome sequence, annotation and metadata	ncbi_datasets	Get Data		
NCBI Accession Download		toolshed.g2.bx.psu.edu/repos/iuc/ncbi_acc_download/ncbi_acc_download/0.2.7+galaxy0	Download sequences from GenBank/RefSeq by accession through the NCBI ENTREZ API	ncbi_acc_download	Get Data		
UniProt		toolshed.g2.bx.psu.edu/repos/galaxyp/uniprotxml_downloader/uniprotxml_downloader/2.2.0	download proteome as XML or fasta	uniprotxml_downloader	Get Data		
Unipept		toolshed.g2.bx.psu.edu/repos/galaxyp/unipept/unipept/4.5.0	retrieve taxonomy for peptides	unipept	Get Data		
IEDB		toolshed.g2.bx.psu.edu/repos/iuc/iedb_api/iedb_api/2.15.2	MHC Binding prediction	iedb_api	Get Data		
Download and Extract Reads in BAM		toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.11.0+galaxy0	format from NCBI SRA	sra_tools	Get Data
Protein Database Downloader		toolshed.g2.bx.psu.edu/repos/galaxyp/dbbuilder/dbbuilder/0.3.2		dbbuilder	Get Data		
Download and Generate Pileup Format		toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sra_pileup/2.10.3	from NCBI SRA	sra_tools	Get Data		
Get species occurrences data		toolshed.g2.bx.psu.edu/repos/ecology/spocc_occ/spocc_occ/0.9.0	from GBIF, ALA, iNAT and others	spocc_occ	Animal Detection on Acoustic Recordings		
NCBI ESearch		toolshed.g2.bx.psu.edu/repos/iuc/ncbi_eutils_esearch/ncbi_eutils_esearch/1.2	search NCBI Databases by text query	ncbi_eutils_esearch	Get Data		
NCBI EGQuery		toolshed.g2.bx.psu.edu/repos/iuc/ncbi_eutils_egquery/ncbi_eutils_egquery/1.2	Provides the number of records retrieved in all Entrez databases by a single text query.	ncbi_eutils_egquery	Get Data		
NCBI ECitMatch		toolshed.g2.bx.psu.edu/repos/iuc/ncbi_eutils_ecitmatch/ncbi_eutils_ecitmatch/1.2	search NCBI for citations in PubMed	ncbi_eutils_ecitmatch	Get Data		
NCBI EPost		toolshed.g2.bx.psu.edu/repos/iuc/ncbi_eutils_epost/ncbi_eutils_epost/1.2	post UIDs to NCBI History Server	ncbi_eutils_epost	Get Data		
NCBI ELink		toolshed.g2.bx.psu.edu/repos/iuc/ncbi_eutils_elink/ncbi_eutils_elink/1.2	link UIDs from one database to another	ncbi_eutils_elink	Get Data		
NCBI EInfo		toolshed.g2.bx.psu.edu/repos/iuc/ncbi_eutils_einfo/ncbi_eutils_einfo/1.2	fetch NCBI database metadata	ncbi_eutils_einfo	Get Data		
NCBI ESummary		toolshed.g2.bx.psu.edu/repos/iuc/ncbi_eutils_esummary/ncbi_eutils_esummary/1.2	fetch summary of history/ids	ncbi_eutils_esummary	Get Data		
NCBI EFetch		toolshed.g2.bx.psu.edu/repos/iuc/ncbi_eutils_efetch/ncbi_eutils_efetch/1.2	fetch records from NCBI	ncbi_eutils_efetch	Get Data		
UniProt		toolshed.g2.bx.psu.edu/repos/bgruening/uniprot_rest_interface/uniprot/0.2	ID mapping and retrieval	uniprot_rest_interface	Get Data		
Get sequences by Ensembl ID		toolshed.g2.bx.psu.edu/repos/earlhaminst/ensembl_get_sequences/get_sequences/0.1.2	using REST API	ensembl_get_sequences	Get Data		
Get gene tree by Ensembl ID		toolshed.g2.bx.psu.edu/repos/earlhaminst/ensembl_get_genetree/get_genetree/0.1.2	using REST API	ensembl_get_genetree	Get Data		
Get features by Ensembl ID		toolshed.g2.bx.psu.edu/repos/earlhaminst/ensembl_get_feature_info/get_feature_info/0.1.2	using REST API	ensembl_get_feature_info	Get Data		
Search ENA data		toolshed.g2.bx.psu.edu/repos/iuc/enasearch_search_data/enasearch_search_data/0.1.1.0	given a query	enasearch_search_data	Get Data		
Retrieve ENA data		toolshed.g2.bx.psu.edu/repos/iuc/enasearch_retrieve_data/enasearch_retrieve_data/0.1.1.0	(other than taxon and project)	enasearch_retrieve_data	Get Data		
Retrieve ENA taxon data		toolshed.g2.bx.psu.edu/repos/iuc/enasearch_retrieve_taxons/enasearch_retrieve_taxons/0.1.1.0		enasearch_retrieve_taxons	Get Data		
Retrieve an analysis report		toolshed.g2.bx.psu.edu/repos/iuc/enasearch_retrieve_analysis_report/enasearch_retrieve_analysis_report/0.1.1.0		enasearch_retrieve_analysis_report	Get Data		
Retrieve a run report		toolshed.g2.bx.psu.edu/repos/iuc/enasearch_retrieve_run_report/enasearch_retrieve_run_report/0.1.1.0		enasearch_retrieve_run_report	Get Data		
EBI Search		toolshed.g2.bx.psu.edu/repos/iuc/ebi_search_rest_results/ebi_search_rest_results/0.1.1	to obtain search results on resources and services hosted at the EBI	ebi_search_rest_results	Get Data		
Download run data		toolshed.g2.bx.psu.edu/repos/iuc/ebi_metagenomics_run_downloader/ebi_metagenomics_run_downloader/0.1.0	from EBI Metagenomics database	ebi_metagenomics_run_downloader	Get Data		
EGA Download Client		toolshed.g2.bx.psu.edu/repos/iuc/ega_download_client/pyega3/3.4.0+galaxy0		ega_download_client	Get Data		
ENA Upload tool		toolshed.g2.bx.psu.edu/repos/iuc/ena_upload/ena_upload/0.5.3		ena_upload	Send Data		
cURL		toolshed.g2.bx.psu.edu/repos/imgteam/curl_post/curl_post/0.0.2	send cURL POST requests	curl_post	Send Data		
Collapse Collection		toolshed.g2.bx.psu.edu/repos/nml/collapse_collections/collapse_dataset/5.1.0	into single dataset in order of the collection	collapse_collections	Collection Operations		
Split file		toolshed.g2.bx.psu.edu/repos/bgruening/split_file_on_column/tp_split_on_column/0.4	according to the values of a column	split_file_on_column	Collection Operations		
Split file		toolshed.g2.bx.psu.edu/repos/bgruening/split_file_to_collection/split_file_to_collection/0.5.0	to dataset collection	split_file_to_collection	Collection Operations		
Unzip		toolshed.g2.bx.psu.edu/repos/imgteam/unzip/unzip/0.2	Unzip file	unzip	Collection Operations		
Extract element identifiers		toolshed.g2.bx.psu.edu/repos/iuc/collection_element_identifiers/collection_element_identifiers/0.0.2	of a list collection	collection_element_identifiers	Collection Operations		
Column join		toolshed.g2.bx.psu.edu/repos/iuc/collection_column_join/collection_column_join/0.0.3	on multiple datasets	collection_column_join	Join, Subtract and Group		
Table Compute		toolshed.g2.bx.psu.edu/repos/iuc/table_compute/table_compute/1.2.4+galaxy0	computes operations on table data	table_compute	Text Manipulation		
diff		toolshed.g2.bx.psu.edu/repos/bgruening/diff/diff/3.7+galaxy0	analyzes two files and generates an unidiff text file with information about the differences and an optional Html report	diff	Text Manipulation		
Histogram		toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3	of a numeric column	dna_filtering	Text Manipulation		
Compute		toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1/1.6	an expression on every row	column_maker	Text Manipulation		
Concatenate datasets		toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cat/0.1.1	tail-to-head (cat)	text_processing	Text Manipulation		
Replace column		toolshed.g2.bx.psu.edu/repos/bgruening/replace_column_by_key_value_file/replace_column_with_key_value_file/0.2	by values which are defined in a convert file	replace_column_by_key_value_file	Text Manipulation		
Add line to file		toolshed.g2.bx.psu.edu/repos/bgruening/add_line_to_file/add_line_to_file/0.1.0	writes a line of text at the begining or end of a text file.	add_line_to_file	Text Manipulation		
Text reformatting		toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_awk_tool/1.1.2	with awk	text_processing	Text Manipulation		
Add input name as column		toolshed.g2.bx.psu.edu/repos/mvdbeek/add_input_name_as_column/addName/0.2.0	to an existing tabular file	add_input_name_as_column	Text Manipulation		
Merge Columns		toolshed.g2.bx.psu.edu/repos/devteam/merge_cols/mergeCols1/1.0.2	together	merge_cols	Text Manipulation		
Switch axis coordinates		toolshed.g2.bx.psu.edu/repos/imgteam/imagecoordinates_flipaxis/imagecoordinates_flipaxis/0.1	Switches the axes of an image and flips the y axis.	imagecoordinates_flipaxis	Imaging		
Replace		toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_find_and_replace/1.1.3	parts of text	text_processing	Text Manipulation		
Sort a row		toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_rows/1.1.0+galaxy0	according to their columns	text_processing	Text Manipulation		
Column Regex Find And Replace		toolshed.g2.bx.psu.edu/repos/galaxyp/regex_find_replace/regexColumn1/1.0.1		regex_find_replace	Text Manipulation		
Regex Find And Replace		toolshed.g2.bx.psu.edu/repos/galaxyp/regex_find_replace/regex1/1.0.1		regex_find_replace	Text Manipulation		
